Date,Open,High,Low,Close,Adj Close,Volume
2020/10/30,437,437,432,432,428.13739,47668895
2020/11/2,433,435.5,428,435.5,431.606079,33477443
2020/11/3,439.5,443,438,441,437.056915,30328495
2020/11/4,444.5,451.5,443,450,445.976471,37512790
2020/11/5,451.5,451.5,445.5,451,446.967499,34886108
2020/11/6,455,455.5,450,452.5,448.454102,30154140
2020/11/9,458,460,454,458.5,454.400452,39245881
2020/11/10,452,454.5,448.5,451,446.967499,34820499
2020/11/11,448.5,457,448.5,457,452.913849,36765561
2020/11/12,463,463.5,457.5,458,453.904907,40100880
2020/11/13,459,462,456.5,462,457.869141,31037438
2020/11/16,470,484.5,469,484,479.672455,81994937
2020/11/17,502,506,485.5,485.5,481.159027,72413868
2020/11/18,490,497,486.5,497,492.556213,50387727
2020/11/19,499,499,490,490,485.618805,44220053
2020/11/20,486,490,486,488,483.636658,32281453
2020/11/23,494.5,498.5,492,496.5,492.060669,38084006
2020/11/24,499.5,500,491.5,492,487.600922,35479226
2020/11/25,495,495.5,487,487,482.64563,41419632
2020/11/26,489,493.5,488,489,484.627747,28893033
2020/11/27,487.5,492,486.5,489,484.627747,32960189
2020/11/30,493,493.5,480.5,480.5,476.203766,119895176
2020/12/1,489.5,490,483.5,490,485.618805,37018651
2020/12/2,499.5,500,493.5,499,494.53833,50621339
2020/12/3,499.5,499.5,495,497,492.556213,35651379
2020/12/4,498.5,505,497.5,503,498.502563,51172005
2020/12/7,512,515,506,514,509.404205,44271244
2020/12/8,514,525,509,524,519.314819,40771761
2020/12/9,521,524,520,520,515.350586,43314115
2020/12/10,511,515,510,512,507.422089,42556926
2020/12/11,517,517,505,516,511.386322,45660960
2020/12/14,512,513,508,508,503.457855,30260485
2020/12/15,507,510,504,504,499.493622,39852366
2020/12/16,509,515,507,512,507.422089,52012348
2020/12/17,515,515,508,508,505.928223,38215179
2020/12/18,508,512,507,510,507.920044,39924864
2020/12/21,512,517,508,516,513.895569,34813281
2020/12/22,512,516,509,509,506.924133,22454277
2020/12/23,508,511,506,509,506.924133,18086715
2020/12/24,511,512,508,510,507.920044,14950143
2020/12/25,514,515,510,511,508.915985,12327895
2020/12/28,512,515,509,515,512.899658,19087382
2020/12/29,515,517,513,515,512.899658,19907528
2020/12/30,516,525,514,525,522.858887,46292401
2020/12/31,526,530,524,530,527.838501,29970398
2021/1/4,530,540,528,536,533.814026,38770328
2021/1/5,536,542,535,542,539.789551,34411866
2021/1/6,555,555,541,549,546.760986,53030554
2021/1/7,554,570,553,565,562.69574,51166782
2021/1/8,580,580,571,580,577.634583,59563555
2021/1/11,577,584,574,584,581.618286,48810990
2021/1/12,583,597,582,591,588.589722,50232426
2021/1/13,595,605,593,605,602.532593,62662393
2021/1/14,587,597,587,592,589.585632,75288477
2021/1/15,621,625,601,601,598.54895,92010500
2021/1/18,608,608,594,607,604.524475,45726476
2021/1/19,618,632,613,627,624.442871,50672866
2021/1/20,633,650,631,647,644.361328,82066422
2021/1/21,640,679,640,673,670.25531,89019137
2021/1/22,649,665,649,649,646.353149,125179403
2021/1/25,642,646,626,633,630.418396,93050133
2021/1/26,632,640,610,617,614.483643,100153482
2021/1/27,618,625,611,615,612.491821,59985191
2021/1/28,600,608,598,601,598.54895,96447533
2021/1/29,619,619,591,591,588.589722,90745237
2021/2/1,595,612,587,611,608.508118,67462398
2021/2/2,629,638,622,632,629.422485,78429188
2021/2/3,638,642,630,630,627.430664,48738970
2021/2/4,626,632,620,627,624.442871,46371900
2021/2/5,638,641,631,632,629.422485,53267273
2021/2/17,663,668,660,663,660.296082,107614290
2021/2/18,664,665,656,660,657.308289,53109010
2021/2/19,656,657,647,652,649.340942,50279585
2021/2/22,660,662,650,650,647.34906,36474610
2021/2/23,641,643,633,641,638.385803,50076333
2021/2/24,627,636,625,625,622.45105,66206750
2021/2/25,636,636,628,635,632.410278,43231417
2021/2/26,611,618,606,606,603.528503,111861175
2021/3/2,621,622,609,609,606.516296,54041533
2021/3/3,609,622,601,622,619.463257,48252965
2021/3/4,609,611,601,601,598.54895,67711962
2021/3/5,588,605,584,601,598.54895,79918467
2021/3/8,608,610,598,598,595.561157,43219772
2021/3/9,585,595,585,595,592.573364,68768861
2021/3/10,601,601,593,597,594.565247,40146301
2021/3/11,596,612,595,609,606.516296,54416046
2021/3/12,615,618,609,614,611.495911,33168846
2021/3/15,614,614,609,611,608.508118,27416758
2021/3/16,610,613,607,613,610.5,36949425
2021/3/17,612,612,602,604,604,39517807
2021/3/18,606,609,602,602,602,29415526
2021/3/19,594,598,591,591,591,70866028
2021/3/22,588,598,586,593,593,34089033
2021/3/23,597,603,593,594,594,29374037
2021/3/24,571,582,571,576,576,107253959
2021/3/25,572,581,570,575,575,67833354
2021/3/26,582,592,580,590,590,36829858
2021/3/29,599,602,596,599,599,37884733
2021/3/30,600,600,592,597,597,33099123
2021/3/31,596,597,587,587,587,38790886
2021/4/1,598,602,594,602,602,43091157
2021/4/7,614,614,608,610,610,25068375
